Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,13.81,13.75,13.9,13.83,13.89,13.78,13.81,13.89,13.85,13.76,13.77,13.82
1881,13.8,13.86,14.03,14.05,14.06,13.81,14,13.96,13.85,13.78,13.81,13.93
1882,14.16,14.14,14.04,13.83,13.85,13.77,13.83,13.93,13.86,13.76,13.83,13.64
1883,13.71,13.63,13.87,13.82,13.83,13.92,13.93,13.86,13.79,13.89,13.77,13.89
1884,13.87,13.93,13.64,13.6,13.66,13.64,13.7,13.73,13.73,13.75,13.66,13.69
1885,13.41,13.66,13.73,13.58,13.54,13.56,13.66,13.68,13.71,13.76,13.76,13.89
1886,13.56,13.49,13.57,13.72,13.75,13.65,13.81,13.69,13.76,13.72,13.72,13.75
1887,13.27,13.43,13.64,13.65,13.69,13.75,13.74,13.64,13.74,13.64,13.74,13.66
1888,13.65,13.64,13.58,13.79,13.78,13.83,13.89,13.84,13.88,14.01,14.02,13.95
1889,13.9,14.16,14.05,14.09,13.99,13.9,13.93,13.8,13.76,13.74,13.66,13.71
1890,13.57,13.55,13.59,13.7,13.6,13.75,13.72,13.61,13.63,13.75,13.56,13.68
1891,13.66,13.54,13.82,13.73,13.84,13.79,13.82,13.83,13.84,13.78,13.69,13.96
1892,13.71,13.88,13.6,13.67,13.77,13.78,13.69,13.73,13.83,13.86,13.58,13.61
1893,13.19,13.44,13.78,13.73,13.66,13.75,13.86,13.75,13.78,13.82,13.81,13.68
1894,13.47,13.71,13.77,13.55,13.69,13.59,13.76,13.76,13.72,13.77,13.74,13.79
1895,13.59,13.57,13.67,13.78,13.72,13.79,13.83,13.83,13.88,13.89,13.83,13.86
1896,13.77,13.87,13.73,13.69,13.84,13.89,13.97,13.94,13.92,14.06,13.95,13.95
1897,13.84,13.83,13.86,13.97,13.98,13.88,13.97,13.91,13.91,13.87,13.82,13.79
1898,13.97,13.69,13.48,13.69,13.69,13.8,13.77,13.73,13.78,13.65,13.61,13.76
1899,13.83,13.61,13.64,13.8,13.77,13.69,13.84,13.91,13.94,13.96,14.12,13.73
1900,13.63,13.94,14,13.9,13.91,13.89,13.87,13.91,13.94,14.09,13.93,13.93
1901,13.78,13.88,14.05,13.97,13.85,13.88,13.85,13.79,13.77,13.71,13.83,13.73
1902,13.83,13.91,13.72,13.72,13.67,13.68,13.72,13.7,13.71,13.7,13.63,13.57
1903,13.75,13.94,13.76,13.58,13.6,13.57,13.65,13.54,13.5,13.53,13.57,13.48
1904,13.36,13.41,13.49,13.49,13.48,13.51,13.49,13.51,13.44,13.61,13.82,13.66
1905,13.64,13.4,13.78,13.65,13.7,13.71,13.73,13.79,13.81,13.75,13.92,13.86
1906,13.72,13.71,13.82,13.94,13.74,13.81,13.77,13.8,13.72,13.8,13.62,13.85
1907,13.56,13.48,13.72,13.62,13.53,13.58,13.64,13.65,13.65,13.77,13.53,13.53
1908,13.55,13.67,13.44,13.55,13.62,13.61,13.64,13.54,13.64,13.55,13.47,13.5
1909,13.26,13.53,13.45,13.4,13.45,13.48,13.54,13.66,13.61,13.6,13.67,13.43
1910,13.57,13.57,13.48,13.57,13.65,13.6,13.65,13.63,13.61,13.59,13.42,13.32
1911,13.37,13.42,13.38,13.46,13.48,13.49,13.57,13.56,13.59,13.73,13.78,13.78
1912,13.73,13.84,13.61,13.81,13.78,13.75,13.57,13.45,13.42,13.42,13.6,13.56
1913,13.59,13.54,13.57,13.6,13.55,13.54,13.63,13.66,13.65,13.67,13.8,13.97
1914,14.04,13.9,13.75,13.7,13.78,13.74,13.76,13.83,13.83,13.96,13.84,13.96
1915,13.79,13.96,13.9,14.06,13.94,13.78,13.87,13.77,13.79,13.75,13.86,13.79
1916,13.86,13.84,13.71,13.69,13.64,13.5,13.63,13.72,13.63,13.66,13.53,13.18
1917,13.42,13.36,13.36,13.44,13.44,13.56,13.74,13.77,13.77,13.55,13.65,13.31
